Mês de Data Referencia;Evento;Uf;Total
junho de 2020;Roubo de veículo;DF;140
junho de 2020;Roubo de veículo;ES;280
junho de 2020;Roubo de veículo;GO;176
junho de 2020;Roubo de veículo;MA;174
junho de 2020;Roubo de veículo;MG;521
junho de 2020;Roubo de veículo;MS;26
junho de 2020;Roubo de veículo;MT;80
junho de 2020;Roubo de veículo;PA;145
junho de 2020;Roubo de veículo;PB;251
junho de 2020;Roubo de veículo;PE;749
junho de 2020;Roubo de veículo;PI;288
junho de 2020;Roubo de veículo;PR;327
junho de 2020;Roubo de veículo;RJ;1743
junho de 2020;Roubo de veículo;RN;443
junho de 2020;Roubo de veículo;RO;
junho de 2020;Roubo de veículo;RR;40
junho de 2020;Roubo de veículo;RS;671
junho de 2020;Roubo de veículo;SC;100
junho de 2020;Roubo de veículo;SE;118
junho de 2020;Roubo de veículo;SP;1930
junho de 2020;Roubo de veículo;TO;44
julho de 2020;Roubo de veículo;AC;47
julho de 2020;Roubo de veículo;AL;51
julho de 2020;Roubo de veículo;AM;174
julho de 2020;Roubo de veículo;AP;28
julho de 2020;Roubo de veículo;BA;748
julho de 2020;Roubo de veículo;CE;586
julho de 2020;Roubo de veículo;DF;152
julho de 2020;Roubo de veículo;ES;248
julho de 2020;Roubo de veículo;GO;176
julho de 2020;Roubo de veículo;MA;164
janeiro de 2021;Roubo de veículo;AC;100
janeiro de 2021;Roubo de veículo;AL;173
janeiro de 2021;Roubo de veículo;AM;162
janeiro de 2021;Roubo de veículo;AP;45
janeiro de 2021;Roubo de veículo;BA;915
janeiro de 2021;Roubo de veículo;CE;690
janeiro de 2021;Roubo de veículo;DF;200
janeiro de 2021;Roubo de veículo;ES;313
janeiro de 2021;Roubo de veículo;GO;177
janeiro de 2021;Roubo de veículo;MA;394
janeiro de 2021;Roubo de veículo;MG;587
janeiro de 2021;Roubo de veículo;MS;47
janeiro de 2021;Roubo de veículo;MT;111
janeiro de 2021;Roubo de veículo;PA;251
janeiro de 2021;Roubo de veículo;PB;302
janeiro de 2021;Roubo de veículo;PE;782
janeiro de 2021;Roubo de veículo;PI;406
janeiro de 2021;Roubo de veículo;PR;340
janeiro de 2021;Roubo de veículo;RJ;2332
janeiro de 2021;Roubo de veículo;RN;346
janeiro de 2021;Roubo de veículo;RO;160
janeiro de 2021;Roubo de veículo;RR;76
janeiro de 2021;Roubo de veículo;RS;550
janeiro de 2021;Roubo de veículo;SC;115
janeiro de 2021;Roubo de veículo;SE;166
janeiro de 2021;Roubo de veículo;SP;2779
janeiro de 2021;Roubo de veículo;TO;53
fevereiro de 2021;Roubo de veículo;AC;88
fevereiro de 2021;Roubo de veículo;AL;141
fevereiro de 2021;Roubo de veículo;AM;155
fevereiro de 2021;Roubo de veículo;AP;28
fevereiro de 2021;Roubo de veículo;BA;796
fevereiro de 2021;Roubo de veículo;CE;638
fevereiro de 2021;Roubo de veículo;DF;164
fevereiro de 2021;Roubo de veículo;ES;292
fevereiro de 2021;Roubo de veículo;GO;164
fevereiro de 2021;Roubo de veículo;MA;333
